seeds: 3037945983 743948277 2623786093 391282324 195281306 62641412 769611781 377903357 2392990228 144218002 1179463071 45174621 2129467491 226193957 1994898626 92402726 1555863421 340215202 426882817 207194644

seed-to-soil map:
2455782705 3560429442 322030593
2022121172 1272848785 266199456
773517036 914869331 357979454
1131496490 1539048241 556472175
3364024100 4018320297 60669366
3643816469 2455782705 515290565
192800212 334152507 580716824
3424693466 4078989663 215977633

temperature-to-humidity map:
4072523312 605654847 17750681
1174610018 540191835 65463012
2038455907 3792024734 100202248
2539396783 866566556 128459181
96342672 2296045868 14715058
3827330744 1522255720 106701221
3816190028 4081148893 11140716
1706101724 3892226982 188921911
3780839952 623405528 35350076
765616949 1813669629 408993069
4225769488 3778728770 13295964
2752105545 1645897858 167771771
2138658155 1121517092 400738628
4239065452 4155853973 55901844
3934031965 96342672 35726394
3005272654 658755604 22724553
3989311833 4211755817 83211479
280430452 3186777866 320785315
111057730 2310760926 65268270
176326000 3659551759 104104452
1895023635 1628956941 16940917
4093334384 3507563181 132435104
3027997207 132069066 179421352
1477400307 311490418 228701417
2934949875 2225723089 70322779
601215767 681480157 100836818
2919877316 3763656211 15072559
3969758359 3639998285 19553474
3207418559 2613356473 573421393
4090273993 2222662698 3060391
1911964552 995025737 126491355
2667855964 782316975 84249581
1240073030 2376029196 237327277
702052585 4092289609 63564364

humidity-to-location map:
2848734682 2982177676 22285660
3380476660 3717224958 24199873
3201930685 734568132 100088122
764851360 4087339561 71173655
188169313 2953711255 28466421
3189375901 2832231336 12554784
3369909102 47909639 10567558
47909639 3741424831 99762378
2871020342 58477197 7400020
3042878026 3409715295 146497875
1196348942 2734551883 97679453
3418711171 3387790447 21924848
1587973141 573552831 65833150
1121006696 889063447 75342246
1294028395 567796360 5756471
3302018807 499906065 67890295
2915035031 2921050411 32660844
1982422286 3064299481 301982155
704786709 4084864539 2475022
299076626 834656254 54407193
3623423724 2182055199 207702290
388851709 2881400789 39649622
147672017 3592293988 40497296
2947695875 639385981 95182151
707261731 3556213170 36080818
2284404441 2389757489 138657919
353483819 2146687309 35367890
2519626540 441189704 58319568
743342549 3366281636 21508811
2878420362 2844786120 36614669
216635734 4212526404 82440892
3440636019 1235194267 182787705
2577946108 964405693 270788574
1453221956 3877915244 70435137
836025015 1861705628 284981681
1299784866 499509272 396793
1859942766 3948350381 122479520
2423062360 3004463336 59836145
3404676533 4070829901 14034638
1399208768 4158513216 54013188
1300181659 342162595 99027109
1523657093 3652908910 64316048
3851243640 1417981972 443723656
3831126014 3632791284 20117626
1653806291 2528415408 206136475
428501331 65877217 276285378
2482898505 3841187209 36728035
